AC	GeneName	chr	strand	exonStart	exonEnd	upstreamEE	downstreamES	TCGA-2A-A8VL-01A	TCGA-2A-A8VO-01A	TCGA-2A-A8VT-01A	TCGA-2A-A8VV-01A	TCGA-2A-A8VX-01A	SRR1069209	SRR1069514	SRR1073069	SRR1074410	SRR1075126	SRR3146747	SRR3146769	SRR3146770	SRR3018011	SRR3018014	SRR4306657	SRR4306115	SRR4306118	SRR4306121	SRR4306381
ENSG00000000419.12_2	DPM1	chr20	-	49557401	49557492	49552799	49558567	0.914	0.9667	0.9685	0.9459	0.8072	1.0	0.9149	0.9615	0.9778	0.9091	0.9024	0.9292	1.0	0.8897	0.8503	0.8812	1.0	0.9084	1.0	0.8746
ENSG00000000419.12_2	DPM1	chr20	-	49557641	49557746	49557470	49558567	0.0607	0.0625	0.1214	0.0496	0.0667	0.0135	0.0577	0.0227	0.0286	0.0394	0.0952	0.0124	0.1064	0.1064	0.0199	0.0387	0.0	0.0737	0.0445	0.0613
ENSG00000000419.12_2	DPM1	chr20	-	49557641	49557746	49557492	49558567	1.0	1.0	0.9459	1.0	0.875	0.2	0.6667	0.1429	0.5	1.0	0.6	0.5	0.2727	0.9048	0.1358	0.7647	nan	0.5676	0.7778	0.7736
ENSG00000000419.12_2	DPM1	chr20	-	49557665	49557746	49552799	49558567	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ENSG00000000419.12_2	DPM1	chr20	-	49557665	49557746	49557470	49558567	0.0516	0.0476	0.1532	0.0394	0.0749	0.0267	0.0667	0.0753	0.0449	0.0758	0.0952	0.0364	0.087	0.1085	0.0267	0.0407	0.0	0.0865	0.09	0.0971
ENSG00000000419.12_2	DPM1	chr20	-	49557665	49557746	49557470	49562273	1.0	0.3333	0.9091	1.0	1.0	1.0	1.0	1.0	0.6667	1.0	0.6	1.0	1.0	1.0	1.0	0.5634	nan	1.0	1.0	0.9155
ENSG00000000457.13_2	SCYL3	chr1	-	169824936	169825098	169824105	169828181	0.1818	0.0	0.05	0.0526	0.0196	0.1111	0.3913	0.0	0.1795	0.0811	1.0	0.0	0.0	0.0909	0.1391	0.0286	nan	0.0811	0.1935	0.0123
ENSG00000000457.13_2	SCYL3	chr1	-	169833509	169833649	169831938	169836036	1.0	1.0	0.963	1.0	1.0	1.0	1.0	0.9048	0.7778	1.0	0.6364	0.8889	1.0	1.0	0.8082	0.8261	nan	1.0	nan	1.0
ENSG00000000460.16_3	C1orf112	chr1	+	169770023	169770112	169768099	169771761	1.0	nan	1.0	0.5	1.0	1.0	0.8333	1.0	1.0	1.0	0.6	0.875	0.7949	1.0	0.9224	0.9015	nan	1.0	1.0	0.8407
ENSG00000001167.14_2	NFYA	chr6	+	41048549	41048636	41046903	41051784	0.1064	0.0526	0.0526	0.0588	0.125	0.0811	0.8182	0.0	0.1429	0.3333	0.3333	0.1667	0.0	0.0971	0.0986	0.0487	nan	0.0358	0.051	0.0332
ENSG00000001460.17_2	STPG1	chr1	-	24718050	24718169	24710493	24727808	1.0	0.5	0.8235	0.5	0.5	1.0	0.6842	1.0	1.0	1.0	1.0	0.3	0.0	1.0	0.5942	0.9487	nan	nan	1.0	0.7867
ENSG00000001497.16_2	LAS1L	chrX	-	64744443	64744494	64744142	64744844	0.0992	0.1667	0.1869	0.2143	0.0588	0.4557	0.6067	0.6296	0.2632	0.4693	0.0909	0.1765	0.1071	0.1542	0.0501	0.0324	nan	0.0704	0.0563	0.0422
ENSG00000001497.16_2	LAS1L	chrX	-	64748139	64748249	64744930	64749091	1.0	1.0	0.9529	0.9794	0.9706	0.7375	0.9529	0.8974	0.8919	0.9231	0.8462	0.9143	0.8286	0.9867	0.8981	0.9839	1.0	0.879	0.8028	0.9571
ENSG00000001617.11_2	SEMA3F	chr3	+	50212528	50212621	50211783	50214200	0.5789	0.6364	0.5529	0.6071	0.7273	0.7021	0.6327	0.6444	0.5278	0.5357	0.7183	0.3913	0.76	0.6432	0.6044	0.3949	nan	0.4545	1.0	0.6285
ENSG00000001631.15_3	KRIT1	chr7	-	91873315	91873463	91871451	91874215	1.0	1.0	1.0	0.8889	1.0	1.0	0.8947	1.0	1.0	1.0	0.9394	0.8621	1.0	0.8182	0.8377	0.7143	nan	0.9394	1.0	0.5873
ENSG00000001631.15_3	KRIT1	chr7	-	91873315	91873463	91871451	91874740	0.4	0.4286	0.6216	0.3846	1.0	0.375	0.3913	0.5	0.4286	0.5556	0.7391	0.7143	0.6	0.619	0.5959	0.5926	nan	0.8333	0.5556	0.2826
ENSG00000001631.15_3	KRIT1	chr7	-	91873315	91873463	91871451	91874778	1.0	1.0	1.0	1.0	0.6	1.0	0.8182	1.0	1.0	1.0	0.8889	0.7895	1.0	0.8667	0.9582	0.8	nan	1.0	1.0	0.7353
ENSG00000001631.15_3	KRIT1	chr7	-	91874215	91874485	91871451	91874740	0.0	0.0	0.0	0.0588	nan	0.0	0.0667	0.0	0.0	0.0	0.1429	0.25	0.0	0.1579	0.1429	0.3529	nan	0.2	0.0	0.1646
